dates,royalties,spotify_m_listeners,spotify_followers,youtube_subscribers,youtube_views,instagram_followers,twitter_followers
5/1/2019,0.964,3187,8761,41,5109,17803,1429
5/2/2019,0.876,3182,8761,41,5120,17802,1429
5/3/2019,1.132,3148,8761,41,5131,17800,1429
5/4/2019,0.896,3141,8762,41,5140,17861,1428
5/5/2019,0.672,3154,8762,42,5150,17921,1428
5/6/2019,0.912,3143,8762,42,5159,17982,1428
5/7/2019,0.712,3137,8763,42,5168,18042,1428
5/8/2019,0.728,3131,8763,42,5178,18103,1428
5/9/2019,0.816,3084,8763,42,5187,18163,1428
5/10/2019,0.976,3084,8763,42,5197,18224,1427
5/11/2019,0.732,3048,8763,42,5206,18249,1427
5/12/2019,0.652,3032,8764,42,5212,18274,1427
5/13/2019,0.856,2990,8763,42,5217,18278,1427
5/14/2019,0.72,2927,8764,42,5226,18281,1426
5/15/2019,0.816,2864,8764,42,5234,18286,1426
5/16/2019,0.72,2824,8763,42,5243,18290,1426
5/17/2019,0.924,2784,8763,42,5251,18307,1425
5/18/2019,0.76,2744,8762,42,5261,18324,1425
5/19/2019,0.64,2704,8762,42,5267,18315,1425
5/20/2019,0.808,2664,8761,42,5273,18306,1425
5/21/2019,0.836,2628,8761,42,5287,18308,1425
5/22/2019,0.664,2591,8761,42,5288,18309,1425
